Fecha,Hora,T[°C],H[%]
11/10/2016,19:9:10,14.0,43.6
11/10/2016,19:9:17,14.0,43.4
11/10/2016,19:9:23,14.0,43.6
11/10/2016,19:9:32,14.0,43.8
11/10/2016,19:9:38,14.0,44.0
11/10/2016,19:9:44,14.0,43.8
11/10/2016,19:9:51,14.2,43.8
11/10/2016,19:9:57,14.2,43.8
11/10/2016,19:10:3,14.2,43.8
11/10/2016,19:10:10,14.2,44.0
11/10/2016,19:10:16,14.2,44.0
11/10/2016,19:10:22,14.0,44.2
11/10/2016,19:10:28,14.0,44.0
11/10/2016,19:10:35,14.0,44.0
11/10/2016,19:10:41,14.0,44.0
11/10/2016,19:10:47,14.0,44.2
11/10/2016,19:10:54,14.0,44.2
11/10/2016,19:11:2,14.0,44.2
11/10/2016,19:11:9,14.0,44.2
11/10/2016,19:11:15,14.0,43.8
11/10/2016,19:11:21,14.0,43.8
11/10/2016,19:11:28,14.0,44.0
11/10/2016,19:11:34,14.0,44.0
11/10/2016,19:11:43,14.0,44.0
11/10/2016,19:11:54,14.0,44.2
11/10/2016,19:12:3,14.0,44.0
11/10/2016,19:12:9,14.2,43.8
11/10/2016,19:12:15,14.2,43.6
11/10/2016,19:12:22,14.2,43.6
11/10/2016,19:12:28,14.4,43.4
11/10/2016,19:12:34,14.4,43.6
11/10/2016,19:12:41,14.2,43.6
11/10/2016,19:12:47,14.2,43.8
11/10/2016,19:12:53,14.2,43.8
11/10/2016,19:13:0,14.0,44.0
11/10/2016,19:13:6,14.0,44.0
11/10/2016,19:13:12,14.0,44.0
11/10/2016,19:13:21,14.0,43.8
11/10/2016,19:13:27,14.0,43.6
11/10/2016,19:13:36,14.0,43.4
11/10/2016,19:13:42,14.0,43.4
11/10/2016,19:13:49,14.2,43.0
11/10/2016,19:13:55,14.2,43.2
11/10/2016,19:14:6,14.4,43.4
11/10/2016,19:14:13,14.6,43.2
11/10/2016,19:14:19,14.8,42.8
11/10/2016,19:14:25,14.8,42.8
11/10/2016,19:14:31,15.0,42.8
11/10/2016,19:14:40,15.0,43.0
11/10/2016,19:14:46,14.8,43.2
11/10/2016,19:14:53,14.6,43.6
11/10/2016,19:15:2,14.6,43.8
11/10/2016,19:15:8,14.4,43.6
11/10/2016,19:15:19,14.2,43.2
